 1.7320001125335693	2.237	3.967
 1.7849998474121094	2.305	4.108
 1.8510000705718994	2.374	4.281
 1.877000093460083	2.442	4.318
 1.8540000915527344	2.882	4.732
 1.9470000267028809	3.541	5.542
 2.0139999389648438	4.003	6.027
 1.9459998607635498	4.223	6.164
 2.010999917984009	4.291	6.303
 1.9659998416900635	4.354	6.321
 1.9729998111724854	4.598	6.567
 1.9070000648498535	4.845	6.749
 2.006999969482422	5.126	7.133
 1.9499998092651367	5.224	7.174
 1.8640000820159912	5.664	7.525
 1.8929998874664307	5.731	7.670
 1.863999843597412	5.942	7.681
 1.7320001125335693	6.132	7.865
 1.7070000171661377	6.170	7.877
 1.8550000190734863	6.112	7.968
