/cannes_international_film_festival-020	load:0.009	watermark:0.01	recognition:1.29	encrypt:1.546	compress:1.572	writeFileSync:1.573	end:1.573	1.574
/shangwu_gongzuo_chuchai-001	load:0.009	watermark:0.01	recognition:1.335	encrypt:1.562	compress:1.587	writeFileSync:1.588	end:1.588	1.589
/shangwu_gongzuo_chuchai-002	load:0.008	watermark:0.01	recognition:0.827	encrypt:1.101	compress:1.125	writeFileSync:1.125	end:1.125	1.129
/shangwu_gongzuo_chuchai-003	load:0.007	watermark:0.009	recognition:0.785	encrypt:0.989	compress:1.005	writeFileSync:1.006	end:1.006	1.007
/shangwu_gongzuo_chuchai-004	load:0.008	watermark:0.009	recognition:1.05	encrypt:1.291	compress:1.316	writeFileSync:1.316	end:1.316	1.318
/shangwu_gongzuo_chuchai-005	load:0.008	watermark:0.01	recognition:1.051	encrypt:1.28	compress:1.299	writeFileSync:1.299	end:1.299	1.300
/shangwu_gongzuo_chuchai-006	load:0.008	watermark:0.009	recognition:1.044	encrypt:1.288	compress:1.31	writeFileSync:1.311	end:1.311	1.313
/shangwu_gongzuo_chuchai-007	load:0.005	watermark:0.007	recognition:0.719	encrypt:1.348	compress:1.39	writeFileSync:1.39	end:1.391	1.392
/shangwu_gongzuo_chuchai-008	load:0.006	watermark:0.008	recognition:0.851	encrypt:1.63	compress:1.658	writeFileSync:1.658	end:1.658	1.659
/shangwu_gongzuo_chuchai-009	load:0.006	watermark:0.008	recognition:0.739	encrypt:1.189	compress:1.222	writeFileSync:1.223	end:1.223	1.224
/shangwu_gongzuo_chuchai-010	load:0.006	watermark:0.008	recognition:0.676	encrypt:1.115	compress:1.15	writeFileSync:1.151	end:1.151	1.152
/shangwu_gongzuo_chuchai-011	load:0.007	watermark:0.009	recognition:0.642	encrypt:1.092	compress:1.127	writeFileSync:1.128	end:1.128	1.131
/shangwu_gongzuo_chuchai-012	load:0.006	watermark:0.008	recognition:0.696	encrypt:1.229	compress:1.271	writeFileSync:1.271	end:1.272	1.273
/shangwu_gongzuo_chuchai-013	load:0.005	watermark:0.008	recognition:0.626	encrypt:0.94	compress:0.962	writeFileSync:0.963	end:0.963	0.964
