Percentage served,Time in ms
0,1452.149
1,3230.665
2,3595.119
3,4024.966
4,4523.706
5,4946.215
6,5138.361
7,5348.616
8,5498.515
9,5660.707
10,5801.600
11,5998.564
12,6196.728
13,6300.784
14,6402.201
15,6442.548
16,6488.632
17,6510.055
18,6522.620
19,6538.566
20,6551.077
21,6562.268
22,6573.962
23,6580.651
24,6590.840
25,6600.983
26,6608.094
27,6616.260
28,6624.147
29,6629.527
30,6642.360
31,6654.691
32,6660.557
33,6668.928
34,6676.541
35,6684.313
36,6689.082
37,6692.636
38,6700.077
39,6704.754
40,6711.139
41,6719.970
42,6723.951
43,6734.634
44,6740.319
45,6749.257
46,6761.412
47,6769.588
48,6779.235
49,6791.661
50,6799.824
51,6809.263
52,6816.278
53,6824.468
54,6835.673
55,6843.309
56,6850.974
57,6859.299
58,6869.495
59,6882.353
60,6890.525
61,6899.478
62,6907.932
63,6916.391
64,6927.682
65,6933.463
66,6944.888
67,6956.271
68,6962.713
69,6968.311
70,6986.260
71,7002.287
72,7010.227
73,7015.322
74,7021.554
75,7031.838
76,7039.118
77,7050.072
78,7066.245
79,7086.793
80,7097.853
81,7128.499
82,7221.375
83,7330.679
84,7552.483
85,7741.071
86,7875.421
87,8010.999
88,8124.462
89,8222.368
90,8288.134
91,8503.106
92,8899.966
93,9222.758
94,9596.046
95,9841.051
96,10061.539
97,10431.852
98,10800.380
99,10978.253
