Percentage served,Time in ms
0,1595.281
1,2090.648
2,2131.582
3,2168.019
4,2214.144
5,2245.438
6,2279.430
7,2299.473
8,2326.471
9,2359.840
10,2386.160
11,2418.112
12,2476.098
13,2523.949
14,2561.477
15,2593.284
16,2655.407
17,2691.061
18,2713.927
19,2742.568
20,2797.367
21,2830.537
22,2866.863
23,2994.184
24,3053.442
25,3096.580
26,3136.884
27,3172.465
28,3208.712
29,3227.379
30,3250.750
31,3263.684
32,3278.643
33,3294.769
34,3308.563
35,3320.533
36,3340.020
37,3349.883
38,3364.979
39,3380.101
40,3389.445
41,3396.261
42,3406.888
43,3414.417
44,3420.794
45,3427.959
46,3439.761
47,3447.859
48,3453.741
49,3463.628
50,3477.391
51,3490.806
52,3500.346
53,3508.677
54,3517.248
55,3523.919
56,3529.722
57,3537.091
58,3540.932
59,3547.208
60,3550.677
61,3555.741
62,3561.073
63,3566.384
64,3571.683
65,3574.742
66,3577.986
67,3581.046
68,3583.833
69,3586.085
70,3590.312
71,3592.849
72,3597.706
73,3598.746
74,3601.943
75,3603.869
76,3607.390
77,3609.813
78,3611.473
79,3614.127
80,3617.745
81,3620.720
82,3623.283
83,3624.702
84,3627.444
85,3631.341
86,3635.418
87,3638.173
88,3641.188
89,3646.523
90,3654.401
91,3659.789
92,3664.681
93,3677.140
94,3697.674
95,3784.416
96,4005.395
97,4045.146
98,4106.243
99,4154.660
