 2.447	0.022	2.470
 1.759	0.003	1.763
 2.135	0.010	2.136
 2.152	0.003	2.154
 2.113	0.002	2.115
 2.121	0.003	2.122
 2.886	0.002	2.893
 2.37	0.010	2.379
 2.003	0.003	2.005
 2.054	0.002	2.056
 1.937	0.001	1.939
 1.772	0.002	1.774
 2.864	0.001	2.866
 2.039	0.003	2.042
 2.939	0.002	2.941
 2.352	0.002	2.353
 2.367	0.002	2.373
 1.51	0.014	1.521
 1.796	0.008	1.798
 2.057	0.001	2.059
 2.252	0.003	2.255
 2.155	0.008	2.159
 2.185	0.002	2.187
 2.571	0.007	2.573
 3.108	0.006	3.110
 2.636	0.005	2.639
 2.525	0.002	2.527
 2	0.003	2.003
 1.954	0.002	1.956
 2.43	0.004	2.432
 2.326	0.002	2.327
 2.122	0.002	2.124
 1.795	0.002	1.798
 2.103	0.004	2.105
 1.883	0.003	1.884
 2.957	0.002	2.959
 2.747	0.004	2.749
 2.822	0.003	2.823
 2.252	0.003	2.254
 2.267	0.006	2.268
 2.435	0.005	2.437
 2.16	0.002	2.161
 2.441	0.004	2.444
 1.88	0.003	1.881
 1.641	0.007	1.642
 1.408	0.002	1.410
 1.969	0.005	1.971
 1.936	0.006	1.938
 1.898	0.007	1.900
 1.702	0.004	1.703
 1.494	0.002	1.496
 2.157	0.002	2.160
 1.945	0.010	1.948
 1.767	0.004	1.769
 1.627	0.002	1.628
 1.239	0.005	1.242
 1.599	0.006	1.601
 1.59	0.002	1.592
 1.719	0.003	1.722
 1.822	0.003	1.823
 1.951	0.008	1.953
 1.72	0.003	1.722
 1.842	0.002	1.845
 2.062	0.007	2.064
 2.132	0.004	2.133
 2.011	0.002	2.013
 1.954	0.002	1.956
 1.567	0.007	1.569
 1.665	0.002	1.667
 1.421	0.002	1.423
 1.418	0.003	1.420
 1.841	0.001	1.842
 1.923	0.006	1.925
 1.531	0.002	1.533
 1.91	0.002	1.911
 1.729	0.002	1.731
 1.893	0.007	1.893
 1.707	0.008	1.709
 1.992	0.001	1.993
 1.274	0.002	1.276
 1.674	0.003	1.675
 2.134	0.002	2.136
 2.014	0.001	2.015
 2.681	0.002	2.683
 2.568	0.002	2.570
 2.201	0.002	2.202
 2.006	0.002	2.008
 2.434	0.002	2.436
 2.116	0.004	2.118
 1.874	0.002	1.876
 1.94	0.002	1.941
 2.104	0.002	2.106
 1.852	0.002	1.854
 2.138	0.003	2.139
 2.467	0.002	2.469
 2.185	0.002	2.186
 1.842	0.004	1.845
 2.144	0.002	2.145
 1.831	0.003	1.833
 2.211	0.007	2.213
